Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Year_as_date
The Sims: Unleashed,PC,Electronic Arts,Maxis,7.300000000000001,,3.76,2002,Simulation,2.03,1.56,0.0,0.17,3.76,2002-01-01
Ratchet & Clank: Size Matters,PSP,Sony Computer Entertainment,High Impact Games,8.5,,3.75,2007,Platform,1.4,1.4,0.1,0.87,3.77,2007-01-01
Harry Potter And The Sorcerer'S Stone,PS,Electronic Arts,Argonaut Games,8.0,,3.73,2001,Action,1.37,2.0,0.14,0.22,3.73,2001-01-01
Fifa 17,XONE,Electronic Arts,EA Canada,8.8,5.1,3.71,2016,Sports,0.17,1.26,0.0,0.1,1.53,2016-01-01
Spyro: Year Of The Dragon,PS,Sony Computer Entertainment,Insomniac Games,9.1,,3.71,2000,Platform,1.93,1.58,0.0,0.19,3.71,2000-01-01
The Legend Of Zelda: Skyward Sword,WII,Nintendo,Nintendo EAD,9.4,,3.67,2011,Action,2.14,1.2,0.37,0.4,4.1,2011-01-01
Tony Hawk'S Pro Skater 4,PS2,Activision,Neversoft Entertainment,9.6,,3.67,2002,Sports,2.13,1.18,0.01,0.35,3.67,2002-01-01
Mysims,DS,Electronic Arts,EA Redwood Shores,6.7,,3.66,2007,Simulation,1.59,1.61,0.08,0.41,3.69,2007-01-01
Banjo-Kazooie,N64,Nintendo,Rare Ltd.,9.3,9.4,3.65,1998,Platform,1.87,1.13,0.55,0.1,3.65,1998-01-01
Socom: U.S. Navy Seals,PS2,Sony Computer Entertainment,Zipper Interactive,8.0,,3.65,2002,Shooter,2.53,0.81,0.06,0.24,3.65,2002-01-01
Battlefield 4,PS3,Electronic Arts,EA DICE,8.7,,3.64,2013,Shooter,1.3,1.51,0.27,0.61,3.69,2013-01-01
Jak And Daxter: The Precursor Legacy,PS2,Sony Computer Entertainment,Naughty Dog,9.0,8.9,3.64,2001,Platform,2.08,1.09,0.15,0.33,3.64,2001-01-01
Pokemon Snap,N64,Nintendo,HAL Laboratory,7.9,,3.63,1999,Simulation,2.23,0.68,0.66,0.06,3.63,1999-01-01
Guitar Hero: World Tour,WII,Activision,Vicarious Visions,8.4,,3.62,2008,Misc,2.33,0.97,0.0,0.35,3.65,2008-01-01
